date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:40	576/576	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Oct%202019%2005:07:33%20GMT	https://livedemo00.template-help.com/robots.txt		(from )
18:25:41	41395/41395	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202019%2005:07:33%20GMT	https://livedemo00.template-help.com/wt_58985_v1/	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/wt_58985_v1/index.html	(from )
18:25:41	4387/4387	---M-Z	200	added ('OK')	application/javascript	etag:%228242ea68a29f3bc1919f9cbf0f0e9c06%22	https://livedemo00.template-help.com/cdn-cgi/apps/head/3ts2ksMwXvKRuG480KNifJ2_JNM.js	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/cdn-cgi/apps/head/3ts2ksMwXvKRuG480KNifJ2_JNM.js	(from https://livedemo00.template-help.com/wt_58985_v1/)
18:25:42	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225b6d9fa2-47e%22	https://livedemo00.template-help.com/wt_58985_v1/images/favicon.ico	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/wt_58985_v1/images/favicon.ico	(from https://livedemo00.template-help.com/wt_58985_v1/)
18:25:42	87863/87863	---MCZ	200	added ('OK')	text/css	etag:W/%225b6d9fa2-19bd4%22	https://livedemo00.template-help.com/wt_58985_v1/css/fonts.css	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/wt_58985_v1/css/fonts.css	(from https://livedemo00.template-help.com/wt_58985_v1/)
18:25:42	103020/103020	---MCZ	200	added ('OK')	text/css	etag:W/%225b6d9fa2-1e4dc%22	https://livedemo00.template-help.com/wt_58985_v1/css/bootstrap.css	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/wt_58985_v1/css/bootstrap.css	(from https://livedemo00.template-help.com/wt_58985_v1/)
18:25:42	302807/302807	---MCZ	200	added ('OK')	text/css	etag:W/%225b6d9fa2-55b94%22	https://livedemo00.template-help.com/wt_58985_v1/css/style.css	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/wt_58985_v1/css/style.css	(from https://livedemo00.template-help.com/wt_58985_v1/)
18:25:43	41395/41395	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202019%2005:07:35%20GMT	https://livedemo00.template-help.com/wt_58985_v1/index.html	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/wt_58985_v1/index-2.html	(from https://livedemo00.template-help.com/wt_58985_v1/)
18:25:43	1691/1691	---M--	200	added ('OK')	image/png	etag:%225b6d9fa2-8de%22	https://livedemo00.template-help.com/wt_58985_v1/images/logo-default-169x42.png	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/wt_58985_v1/images/logo-default-169x42.png	(from https://livedemo00.template-help.com/wt_58985_v1/)
18:25:44	1599/1599	---M--	200	added ('OK')	image/png	etag:%225b6d9fa2-83b%22	https://livedemo00.template-help.com/wt_58985_v1/images/logo-inverse2-169x42.png	C:/xampp/htdocs/teleatento1/livedemo00.template-help.com/wt_58985_v1/images/logo-inverse2-169x42.png	(from https://livedemo00.template-help.com/wt_58985_v1/)
